KFCT	FOX
KDVR	FOX
WVEN	UNIVISION
KNVA	CW
WXIN	FOX
WTIC	FOX
KAKW	UNIVISION
KABC	ABC
KRBC	NBC
KSAN	NBC
KTXS	ABC & CW (DIGITAL ONLY)
WACY	MY NETWORK TV
WCAV	CBS
WRGT	FOX
WRLH	FOX
WUHF	FOX
WXLV	ABC
WUTV	FOX
WTAT	FOX
WVAH	FOX
WZTV	FOX
WADL	IND
WAFB	CBS
WTOC	CBS
WAFF	NBC
KFVS	CBS
KWWL	NBC
WITN	NBC
WTVM	ABC
KVTN	IND
KVTH	IND
KLEI	ION
WAKA	CBS
WAIQ	PBS
WGIQ	PBS
WCIQ	PBS
WHIQ	PBS
WDIQ	PBS
WFIQ	PBS
WBIQ	PBS
WIIQ	PBS
WEIQ	PBS
KLRN	PBS
KAKM	PBS
KNAT	TRINITY BROADCASTING NETWORK
WWTO	TRINITY BROADCASTING NETWORK
KTAJ	TRINITY BROADCASTING NETWORK
WTJP	TRINITY BROADCASTING NETWORK
KDOR	TRINITY BROADCASTING NETWORK
WJLA	ABC
KUCW	CW
KAZQ	ETV
WTLW	IND
KACV	PBS
KXTF	FOX
KPVI	NBC
KJWY	NBC
WABC	ABC
WMTJ	PBS
WQTO	PBS
WPXJ	ION
WSVI	ABC
WCYB	NBC & CW (DIGITAL ONLY)
KVEW	ABC
KAPP	ABC
KOPX	ION
WGBA	NBC
WEUX	FOX
WLAX	FOX
KUAS	PBS
KAET	PBS
KUAT	PBS
KAFT	PBS
KETG	PBS
KTEJ	PBS
KETS	PBS
KEMV	PBS
KVTJ	IND
KTHV	CBS
WPGX	FOX
WCCV	IND
WUVN	UNIVISION
WVXF	CBS
WWMB	CW
WFXG	FOX
KAAH	TRINITY BROADCASTING NETWORK
WQHA	IND
WRBL	CBS
WIPB	PBS
KARD	FOX
KOZL	FOX
KLBK	CBS
WTVW	FOX
WVII	ABC
WLWC	CW
WSJU	SBS/MEGA
WTTA	MYTV
WDWL	TBN ENLACE
WALA	FOX
KHON	FOX
KAII	FOX
KHAW	FOX
KBAK	CBS
WVUE	FOX
WLUK	FOX
WTVY	CBS
WPBA	PBS
WSIU	PBS
WUSI	ETV
WNMU	ETV
KMOS	PBS
KOCE	PBS
WVUT	PBS
WPCT	IND
WTJR	N/A
KUNS	UNIVISION
WTAP	NBC
WTOK	ABC
WHSV	ABC
WIFR	CBS
KHQA	CBS
KDLH	CBS
WBKO	ABC
WYTV	ABC
KBSV	ETV
DKYUK	ETV
KYUS	NBC
KSVI	ABC
KTVH	NBC
WIAT	CBS
WQPT	ETV
KQIN	PBS
WPXD	ION
KPXG	iON
WOTF	TELEFUTURA
WYZZ	FOX
WBRA	PBS
WMSY	PBS
WSBN	PBS
WNYE	ETV
WFSG	PBS
WHA	PBS
WKAR	PBS
KPBS	PUBLIC BROADCASTING SERVICE
KSL	NBC
WFXT	FOX
WDPX	ION
WFGX	MYTV
WBGU	PBS
WXPX	ION
KBTX	CBS
DKDYW	PBS
WBCC	PBS
KBYU	PBS
WILX	NBC
KAUZ	CBS
KOSA	CBS
WHOI	ABC
WSAW	CBS
WWLP	NBC
WTRF	CBS
WMTV	NBC
KWQC	NBC
WUPA	THE CW NETWORK
KTPX	ION
KASW	CW
WGTW	TRINITY BROADCASTING NETWORK
WJFB	IND
KJTL	FOX
WBPX	ION
KUVI	MYTV
WGFL	CBS
WIVB	CBS
KGCW	CW
KOLN	CBS
WEAU	NBC
KGIN	CBS
WDTI	IND
WNUV	CW
WUJA	ETV
